Parameters,PC1,PC2
chief,0.009082925350583559,0.013189372323038144
quality,0.02692505461420451,0.013491953993547778
tool,0.03677924233066531,0.030847981599751304
superchats,0.0018572084829914064,0.002935196280701806
un,0.16000224520637124,-0.035252594373305246
executive,0.006712492378664765,0.00508500878899889
asleep,0.14443935821444942,-0.11538208366015693
work,0.04313228365226528,0.02820191312160913
channel,0.011334410250786933,0.015742569101777133
app,0.050289898527535126,0.04331847504365878
nations,0.004034430759874737,0.004930223019595804
tv,0.007097369143669121,0.0058860286427868036
sleep,0.15007505875912122,-0.11925998970261191
energy,0.017971748230158874,0.016826322368552016
tight,0.014146069715088146,0.0014820038759200522
earth,0.004194422620804172,0.0005389407262541162
peaceful,0.10605945343608435,-0.08331523864440273
linkedin,0.013696007685491588,0.01865152180611321
sponsors,0.03206170969640971,0.026646649863438863
pick,0.010148300292771502,0.00643253189312079
series,0.0032660832847832126,0.005016450108534593
global,0.0166497547864447,0.024157401202133423
great,0.057160252314472366,-0.02049897720072522
entity,0.03897971636618222,0.08128969811335554
focus,0.1151985027447659,-0.06153570185914324
andrew,0.012678302141615742,0.009692553418884572
magazine,0.0002455245639863971,0.00070615242069334
simple,0.020975826841023427,0.012433881015187819
checkout,0.015702573719027668,0.010750364088606384
part,0.05887849502122319,-0.00014271217040332673
time,0.04968784855700362,0.018888837788256483
google,0.005581654385559877,0.007239385739013665
thing,0.04043443964625854,0.02381542417207153
football,0.005609660893489288,0.0010750029306015728
connect,0.03335502777271531,0.023775017296945204
online,0.03718404099959856,-0.003671303942768774
certain,0.040884358119623765,0.08220710828007902
york,0.00655079309920981,0.004829586751824961
touch,0.02211308678845884,0.011812572036756211
deposits,0.021157756927154187,0.028537228257061044
platform,0.04729947430793878,0.0016030015318149213
illustrative,0.06057154208602358,0.16432190779082512
science,0.018985332526801804,0.006809957868470354
damon,0.0017625978286476167,-0.0009953476320277222
software,0.004097328354118136,0.0076602622572480095
world,0.03095361695840694,0.0035265510452631306
best,0.0981365448755813,-0.04838970797436035
conversation,0.03307002873991816,0.03421033717268259
collection,0.003696203821572691,0.0026183532531216503
chase,0.04432201433567386,0.016685380177728845
researcher,0.0031425667266331597,0.0024791816454361594
ambient,0.14083152908585322,-0.11877194322261739
review,0.02041997718901563,0.017249650837583314
purchase,0.04704258932836876,0.01628291952853538
ready,0.018901325428202758,0.012071887910512344
house,0.01255889119507694,0.011856318960123458
information,0.03783879394259055,0.10183389387046517
licensed,0.053809077450300016,0.1405547902964166
coach,0.01088455830801865,0.012893503484005345
trial,0.02824088388670776,0.003938088217585829
education,0.012206451724626753,0.018616547936464063
investors,0.02262580261205524,0.03775712094787986
recent,0.010855044816912574,0.010806417353413075
newsletter,0.017004467386861923,0.018317974693665123
president,0.0027311665750948,0.00605131071579775
machine,0.12116869904354073,-0.10689960685745836
claudia,-0.004192852850455704,-0.0036845140944005658
travel,0.0346108920483048,-0.012724699492584132
physician,0.09213338710486642,-0.04840038893946188
healthcare,0.01785752088779703,0.020645661845714536
risk,0.02820821754633957,0.03536003576291417
experiences,0.02906984585497534,0.024898647135462935
system,0.026970745941516366,0.024434086129605678
air,0.022412462623820534,-0.0002699721356094841
nba,0.006881070825739227,0.004593831428359997
care,0.027522457802800524,0.030680595534196255
lifestyle,0.01648994820370289,0.0159033065034727
issues,0.022075108135873604,0.02572489708146354
function,0.0302843181196374,0.025159869982873177
pack,0.018929123661847742,0.012471967906773788
patreon,0.003053093140125237,-0.0010154244391967196
recommendations,0.04838530818384997,0.10444483658267381
ears,0.04175096623643254,-0.002849360159119254
hear,0.050109998231294306,-0.015834191425337967
sources,0.04278521073525928,0.0856810024721531
negative,0.027432139713242244,0.02232707509688948
pour,0.009577402180502126,-0.007618145132729436
companies,0.018346598676485342,0.03259922894477339
market,0.031986207910896576,0.04609769551512227
individual,0.04977161721798416,0.06775461690871168
maturity,0.02301215651673907,0.033059964315511635
smosh,0.005405955481348894,0.0029740564611728023
fascism,0.002075029623891991,0.0009350362070009533
jackie,-0.004183428564818727,-0.003422551668124782
mindscape,-0.0006018946162401272,0.000273889752456478
mayo,0.002806337686899745,0.004741378021415478
others,0.02411038157851579,0.02023751523074412
operations,0.015102320966480627,0.0213326045548368
deep,0.102252633831204,-0.05856314581929328
local,0.0065881689956875525,0.006989225370435648
lmnt,0.017755808060749244,0.012363607209892605
experts,0.011253272113374225,0.012517758834547123
night,0.09628860362595333,-0.06910055444483389
sports,0.0063889320548235345,0.0028165323194300727
league,0.007541226917128457,0.008960239015535637
betterhelp,0.01740889811130685,0.013347184765829344
insurance,0.01137922523746081,0.01563428605448187
less,0.03105416314680995,0.02682581228195292
expert,0.021465177833013934,0.022033705752473907
notes,0.02637787088933054,0.02728924896626653
college,0.008296857857613943,0.004683271568442653
list,0.05487724019211462,0.005843757583347654
culture,0.008849765460680213,0.007967023663696554
favorite,0.022252113663148096,0.011110546362730473
lewis,0.0009746838762125541,-0.0015765641775204735
sale,0.01285075046469604,0.013765710780813668
writer,0.003392097510029416,0.003899461473673571
mike,0.007772082365280154,0.013320168036643765
sure,0.051388043191483906,0.05937465602689338
theo,0.004779660912033811,0.005047679330534441
relaxation,0.12708558431687497,-0.09582739986823333
emotions,0.019362081652323053,0.013896469486818544
calm,0.1174435756001088,-0.08639997130350692
idea,0.01947849932581426,0.010155155001259481
sounds,0.14360652709846763,-0.1236540115967567
course,0.030282660074934496,0.05279741498124301
views,0.07175208289684973,0.0877898044180182
huberman,0.013340130073670993,0.008827504226453335
miss,0.03809025154253109,0.003953490132437779
cancer,0.012240245769624227,0.01008312889021616
role,0.03015016963426453,0.029639116003179505
acast,-0.012196522795835378,-0.004169996806764115
ways,0.025596595887163717,0.01823841402130245
rest,0.08302653534874586,-0.03259234759425323
investment,0.06006431778310802,0.14612917368548975
advisory,0.04964751490078747,0.13421543914709522
gentle,0.06119898946759437,-0.05505830534821498
peterson,0.011005315270998618,0.007138123619688441
gold,0.01304627030394143,0.025060269999534993
head,0.016738096842966295,0.008350463147731559
technology,0.012152683391008574,0.01603942952181981
loud,0.08527786361487322,-0.054437137652652616
nature,0.10801608873077483,-0.0788893922045808
personal,0.04397516380951363,0.04702763630173396
old,0.023311827892250496,0.025805280299303214
relationships,0.026433052387451854,0.023372165494522673
purposes,0.08739881873758713,0.11206159525234
listeners,0.06446923758042976,-0.009440293989010577
trade,0.010693695405019625,0.018593775677253458
american,0.009262148717314258,0.009988206889924755
destroy,0.012697457696537068,0.007955226419473273
politics,0.007858020888249584,0.011677194183255964
financial,0.052624437299077426,0.12609874038515143
biggest,0.006750056774826645,0.007268701863939765
diet,0.01916534605441381,0.014972938185989566
sci,0.020260560775225624,0.009908495884535549
rate,0.06363290834739216,0.04703874933141198
ravi,0.0021337287162821795,-0.0012248588377464758
tax,0.022252880012223954,0.04484483971803892
happy,0.006780680120199295,0.003241165867676278
story,0.01678492764870654,0.0007891756000058308
bet,0.02583803414914411,0.008407917454147302
dark,0.030141191605294285,-0.011087820230267947
bears,-0.0004642177412462238,-0.0018755294297622186
resources,0.021680835348538333,0.028303422860477722
news,0.00934344620787651,0.008141689753124846
rain,0.09724324120640616,-0.043245175911140105
years,0.021421329427806057,0.02053191467029123
sell,0.008461279715931283,0.013238834969069841
spill,0.003950081911126574,-0.0013418386953446193
right,0.04942420177870648,-0.007701850604085562
emotional,0.02774471399192308,0.019150192911476602
stress,0.044461084637183096,-0.005097280287402588
bedtime,0.04608941109298112,-0.03422459570211996
latest,0.013829563547587678,0.0024673977178274187
measure,0.03668420294872861,0.08901339667768621
america,0.012087222946443082,0.012016993554472156
minutes,0.010860282454038401,0.008748283865777777
choice,0.004562927933606067,0.006287463270724632
experience,0.05822430557280287,0.013621126625784791
npr,0.004017031493845855,0.00510897778146323
entertainment,0.028523620869792276,-0.017016149584910507
guide,0.020783864818430572,0.01528422349077163
success,0.030448850757915247,0.044614956549634904
transcript,0.019920959463845724,0.02309094652277504
white,0.15620810530118984,-0.12330977848197242
compensation,0.050587280569364276,0.13564808191635663
matt,0.0333842539457888,0.07063878154427525
order,0.0420150564795597,0.002210940388839192
educators,0.004780670981451401,0.007619621820895112
strategies,0.03432721261340961,0.04724833619356903
ohio,0.003821391040510499,0.0024189583641054347
coordinator,0.005529638692948983,0.0031190542873584855
english,0.002335947726218199,0.002932078833061988
substitute,0.016806867023500593,0.013291413169979055
medical,0.02316075811861105,0.02084893206625025
november,0.008824862935073528,0.006217730584948416
immune,0.00929286954523658,0.006106699196933392
goals,0.023527541419245318,0.02115743675916406
water,0.04807983247409269,-0.02400974784526129
michael,0.002356796435515085,0.005156341971145281
art,0.057702885404299444,0.01865912230838121
enjoy,0.062495202396632525,-0.02995092262062912
disclaimer,0.09249651210561408,0.06485073187167198
cardshq,-0.0030037609227303087,-0.0005935739191876449
brand,0.013934069119312411,0.011855286932502783
ursula,0.012156640695918753,-0.006771484527793069
die,0.025443446263342558,0.01849761263846098
donald,-0.001716092939725509,0.0029762881138445845
